listing_id,cutoff_date,dataset_version,room_type,property_type,neighbourhood_name,accommodates,bedrooms,beds,bathrooms,listing_price,minimum_nights,maximum_nights,instant_bookable,host_is_superhost,host_listing_count,total_reviews_before_cutoff,unique_reviewers_before_cutoff,avg_comment_len_before_cutoff,max_comment_len_before_cutoff,days_since_last_review,available_days_last_90d,available_rate_last_90d,avg_minimum_nights_calendar_last_90d,avg_maximum_nights_calendar_last_90d,available_days_last_30d,available_rate_last_30d,avg_minimum_nights_calendar_last_30d,avg_maximum_nights_calendar_last_30d,future_calendar_days_observed_30d,future_available_days_30d,future_available_rate_30d,high_demand_proxy,has_reviews_before_cutoff
27886,2025-12-10,v1_student,Private room,Private room in houseboat,Centrum-West,2,1.0,1.0,1.5,132.0,3,356,False,True,1,311,311,302.16720257234726,1917.0,94,16,0.17582417582417584,3.0,30.0,10,0.3333333333333333,3.0,30.0,30,1,0.03333333333333333,1,1
28871,2025-12-10,v1_student,Private room,Private room in rental unit,Centrum-West,2,1.0,1.0,1.0,89.0,2,730,False,True,2,732,729,201.2363387978142,1265.0,94,11,0.12087912087912088,1.8681318681318682,730.0,8,0.26666666666666666,1.8666666666666667,730.0,30,4,0.13333333333333333,1,1
29051,2025-12-10,v1_student,Private room,Private room in condo,Centrum-Oost,2,1.0,1.0,1.0,61.0,2,730,False,True,2,849,841,245.10836277974087,2253.0,93,13,0.14285714285714285,1.978021978021978,730.0,12,0.4,2.0,730.0,30,0,0.0,1,1
44391,2025-12-10,v1_student,Entire home/apt,Entire rental unit,Centrum-Oost,4,2.0,,1.5,,3,730,False,False,1,42,42,242.3095238095238,891.0,1208,0,0.0,3.0,730.0,0,0.0,3.0,730.0,30,0,0.0,1,1
48373,2025-12-10,v1_student,Entire home/apt,Entire rental unit,Buitenveldert - Zuidas,4,2.0,,1.5,,3,1125,False,False,1,5,5,272.2,949.0,591,0,0.0,3.0,1125.0,0,0.0,3.0,1125.0,30,0,0.0,1,1
49552,2025-12-10,v1_student,Entire home/apt,Entire guest suite,Centrum-West,3,2.0,2.0,1.0,322.0,3,1125,False,True,1,609,605,352.82758620689657,1799.0,106,51,0.5604395604395604,2.9340659340659343,1125.0,30,1.0,3.0,1125.0,30,14,0.4666666666666667,0,1
50263,2025-12-10,v1_student,Entire home/apt,Entire condo,Centrum-Oost,4,2.0,3.0,1.5,457.0,2,14,False,False,1,177,177,443.66101694915255,2467.0,100,83,0.9120879120879121,2.0,1125.0,30,1.0,2.0,1125.0,30,27,0.9,0,1
50515,2025-12-10,v1_student,Entire home/apt,Entire townhouse,Bos en Lommer,5,3.0,3.0,1.5,198.0,7,18,False,False,1,20,20,303.1,533.0,109,0,0.0,7.0,18.0,0,0.0,7.0,18.0,30,10,0.3333333333333333,0,1
50523,2025-12-10,v1_student,Entire home/apt,Entire condo,Centrum-West,2,1.0,1.0,1.0,162.0,2,365,False,True,1,563,560,263.39964476021316,1454.0,108,23,0.25274725274725274,1.956043956043956,365.0,20,0.6666666666666666,2.0,365.0,30,28,0.9333333333333333,0,1
53921,2025-12-10,v1_student,Entire home/apt,Entire rental unit,IJburg - Zeeburgereiland,3,1.0,,1.0,,1,21,False,False,1,12,12,262.0833333333333,886.0,564,0,0.0,1.0,21.0,0,0.0,1.0,21.0,30,0,0.0,1,1
55709,2025-12-10,v1_student,Entire home/apt,Entire loft,Centrum-Oost,2,1.0,,1.5,,11,30,False,False,1,69,68,502.17391304347825,1983.0,211,0,0.0,11.0,30.0,0,0.0,11.0,30.0,30,0,0.0,1,1
